nprocs,threads,schedule,width,height,spp,depth,shadow_samples,frames,tile,rank,role,comp_s,comm_s,idle_s,tiles,total_s
8,1,dynamic,854,480,32,4,8,48,32,0,master,0,0.0241139,1015.19,0,1015.89
8,1,dynamic,854,480,32,4,8,48,32,1,worker,1014.92,0.0689979,0.0974835,2562,1015.11
8,1,dynamic,854,480,32,4,8,48,32,2,worker,1015.31,0.0686014,0.127141,2929,1015.53
8,1,dynamic,854,480,32,4,8,48,32,3,worker,1015.52,0.0512384,0.120869,2509,1015.71
8,1,dynamic,854,480,32,4,8,48,32,4,worker,1014.66,0.0811308,0.0856393,2720,1014.85
8,1,dynamic,854,480,32,4,8,48,32,5,worker,1014.64,0.0713084,0.0735355,3028,1014.81
8,1,dynamic,854,480,32,4,8,48,32,6,worker,1015.31,0.0936191,0.0844381,2776,1015.52
8,1,dynamic,854,480,32,4,8,48,32,7,worker,1014.63,0.0615609,0.0785882,2916,1014.8
