nprocs,threads,schedule,width,height,spp,depth,shadow_samples,frames,tile,rank,role,comp_s,comm_s,idle_s,tiles,total_s
8,1,dynamic,854,480,64,6,16,48,32,0,master,0,0.10411,3591,0,3592.23
8,1,dynamic,854,480,64,6,16,48,32,1,worker,3591.48,0.0566352,0.141977,2780,3591.75
8,1,dynamic,854,480,64,6,16,48,32,2,worker,3591.08,0.0603492,0.139799,2758,3591.36
8,1,dynamic,854,480,64,6,16,48,32,3,worker,3591.33,0.0694199,0.184653,2850,3591.65
8,1,dynamic,854,480,64,6,16,48,32,4,worker,3591.87,0.0588123,0.207203,2760,3592.21
8,1,dynamic,854,480,64,6,16,48,32,5,worker,3591.6,0.0712966,0.142632,2769,3591.89
8,1,dynamic,854,480,64,6,16,48,32,6,worker,3591.32,0.0621004,0.15269,2807,3591.61
8,1,dynamic,854,480,64,6,16,48,32,7,worker,3591.85,0.0620732,0.190615,2716,3592.17
