nprocs,threads,schedule,width,height,spp,depth,shadow_samples,frames,tile,rank,role,comp_s,comm_s,idle_s,tiles,total_s
8,1,dynamic,854,480,32,4,8,48,32,0,master,0,0.0132721,271.752,0,272.412
8,1,dynamic,854,480,32,4,8,48,32,1,worker,271.882,0.315287,0.0977087,2746,272.317
8,1,dynamic,854,480,32,4,8,48,32,2,worker,271.873,0.347387,0.0580432,2835,272.301
8,1,dynamic,854,480,32,4,8,48,32,3,worker,271.895,0.341864,0.0878895,2888,272.348
8,1,dynamic,854,480,32,4,8,48,32,4,worker,271.834,0.29498,0.132808,2690,272.283
8,1,dynamic,854,480,32,4,8,48,32,5,worker,271.965,0.343769,0.0768191,2746,272.408
8,1,dynamic,854,480,32,4,8,48,32,6,worker,271.863,0.313708,0.120973,2730,272.319
8,1,dynamic,854,480,32,4,8,48,32,7,worker,271.852,0.339864,0.0683799,2805,272.283
