nprocs,threads,schedule,width,height,spp,depth,shadow_samples,frames,tile,rank,role,comp_s,comm_s,idle_s,tiles,total_s
8,1,dynamic,854,480,64,6,16,48,32,0,master,0,0.0817535,2386.01,0,2387.08
8,1,dynamic,854,480,64,6,16,48,32,1,worker,2386.62,0.0941038,0.129178,2872,2386.9
8,1,dynamic,854,480,64,6,16,48,32,2,worker,2386.7,0.0695498,0.104479,2746,2386.93
8,1,dynamic,854,480,64,6,16,48,32,3,worker,2386.78,0.0954818,0.135081,2798,2387.07
8,1,dynamic,854,480,64,6,16,48,32,4,worker,2386.6,0.0908329,0.210274,2664,2386.96
8,1,dynamic,854,480,64,6,16,48,32,5,worker,2386.65,0.0773392,0.0980968,2846,2386.89
8,1,dynamic,854,480,64,6,16,48,32,6,worker,2386.51,0.10017,0.156956,2754,2386.83
8,1,dynamic,854,480,64,6,16,48,32,7,worker,2386.71,0.0858302,0.180966,2760,2387.04
