nprocs,schedule,width,height,spp,depth,shadow_samples,frames,tile,rank,role,comp_s,comm_s,idle_s,tiles,total_s
8,dynamic,480,360,16,6,4,8,64,7,worker,0.904848,0.0278095,0.001592,51,0.937418
8,dynamic,480,360,16,6,4,8,64,0,master,0,0.00606049,0.855852,0,0.894715
8,dynamic,480,360,16,6,4,8,64,1,worker,0.855554,0.0163386,0.0101001,53,0.882981
8,dynamic,480,360,16,6,4,8,64,2,worker,0.864185,0.0184222,0.00154717,58,0.885115
8,dynamic,480,360,16,6,4,8,64,3,worker,0.863162,0.006848,0.00365079,55,0.87477
8,dynamic,480,360,16,6,4,8,64,4,worker,0.875341,0.00508537,0.00404462,50,0.885475
8,dynamic,480,360,16,6,4,8,64,5,worker,0.873061,0.0122385,0.00813225,54,0.894223
8,dynamic,480,360,16,6,4,8,64,6,worker,0.874127,0.00975175,0.000950835,57,0.885812
8,dynamic,480,360,16,6,4,8,64,7,worker,0.867509,0.00551968,0.00439933,57,0.878514
8,dynamic,480,360,16,6,4,8,64,0,master,0,1.33915,1.00491,0,2.38473
8,dynamic,480,360,16,6,4,8,64,1,worker,1.23036,1.13137,0.0169023,47,2.37951
8,dynamic,480,360,16,6,4,8,64,2,worker,1.24828,0.994524,0.134181,53,2.37781
8,dynamic,480,360,16,6,4,8,64,3,worker,1.28729,1.0446,0.0274165,53,2.38434
8,dynamic,480,360,16,6,4,8,64,4,worker,1.28093,1.08673,0.00519004,64,2.37963
8,dynamic,480,360,16,6,4,8,64,5,worker,1.22603,1.13862,0.00657875,56,2.37226
8,dynamic,480,360,16,6,4,8,64,6,worker,1.2278,1.14419,0.00385508,57,2.37679
8,dynamic,480,360,16,6,4,8,64,7,worker,1.44622,0.913288,0.00432225,54,2.36471
8,dynamic,480,360,16,6,4,8,128,0,master,0,0.00690079,0.8487,0,0.895382
8,dynamic,480,360,16,6,4,8,128,1,worker,0.850623,0.000725501,0.0121106,14,0.864215
8,dynamic,480,360,16,6,4,8,128,2,worker,0.855168,0.00122179,0.0117931,14,0.869026
8,dynamic,480,360,16,6,4,8,128,3,worker,0.889039,0.000806251,0.0122316,14,0.903309
8,dynamic,480,360,16,6,4,8,128,4,worker,0.870302,0.00693808,0.0121364,14,0.890336
8,dynamic,480,360,16,6,4,8,128,5,worker,0.836947,0.00599621,0.0119477,14,0.855773
8,dynamic,480,360,16,6,4,8,128,6,worker,0.831387,0.000742083,0.0258776,11,0.859095
8,dynamic,480,360,16,6,4,8,128,7,worker,0.847279,0.0100763,0.0010755,15,0.859508
8,dynamic,480,360,16,6,4,8,128,0,master,0,0.0121653,0.82464,0,0.875767
8,dynamic,480,360,16,6,4,8,128,1,worker,0.83285,0.000728998,0.00303308,15,0.837673
8,dynamic,480,360,16,6,4,8,128,2,worker,0.820603,0.00492092,0.00422479,11,0.830575
8,dynamic,480,360,16,6,4,8,128,3,worker,0.828816,0.00508975,0.0129179,13,0.851075
8,dynamic,480,360,16,6,4,8,128,4,worker,0.861348,0.00135742,0.0051925,16,0.870155
8,dynamic,480,360,16,6,4,8,128,5,worker,0.831383,0.00253854,0.00395679,14,0.838872
8,dynamic,480,360,16,6,4,8,128,6,worker,0.866172,0.000655291,0.00683067,12,0.874328
8,dynamic,480,360,16,6,4,8,128,7,worker,0.839193,0.00151858,0.00421379,15,0.84591
8,dynamic,480,360,16,6,4,8,128,0,master,0,0.0172001,0.874028,0,0.932143
8,dynamic,480,360,16,6,4,8,128,1,worker,0.913286,0.00244096,0.00167059,17,0.918426
8,dynamic,480,360,16,6,4,8,128,2,worker,0.892831,0.00520771,0.00335804,11,0.902314
8,dynamic,480,360,16,6,4,8,128,3,worker,0.857588,0.00246346,0.0135831,11,0.874505
8,dynamic,480,360,16,6,4,8,128,4,worker,0.866925,0.00524621,0.00107875,14,0.874089
8,dynamic,480,360,16,6,4,8,128,5,worker,0.908819,0.00517867,0.0169479,14,0.931757
8,dynamic,480,360,16,6,4,8,128,6,worker,0.875171,0.0102574,0.00456084,15,0.891101
8,dynamic,480,360,16,6,4,8,128,7,worker,0.888076,0.00861433,0.000784207,14,0.898565
